Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-05-26 17:40:55,false,"Underhill Running","6.24","774","00:54:43","157","173","5.0","165","172","8:46","7:40","514","518","1.11","8.3","9.2","273","--","8:36","376","0.0","367","554","--","9,012","No","00:02:38.3","7","--","--","--","00:54:37","00:54:43","648","877"
Indoor Rowing,2025-05-23 13:51:12,false,"Indoor Rowing","--","329","00:42:34","109","122","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","1201","--","No","00:42:34","1","29","20","34","00:00:00","01:00:56","--","--"
Cycling,2025-05-21 10:59:22,false,"Underhill Cycling","53.07","2,552","05:15:42","123","148","3.9","--","--","10.1","31.8","4,866","4,856","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:21:03","11","29","14","43","05:00:23","06:17:10","449","2,185"
Walking,2025-05-19 13:16:43,false,"Burlington Walking","0.08","8","00:01:18.0","82","83","0.2","93","115","16:30","11:16","--","--","1.05","--","--","--","--","--","--","0.0","--","--","--","140","No","00:01:18.0","1","--","--","--","00:01:18","00:01:18.0","102","107"
Cycling,2025-05-17 09:00:09,false,"Richmond Cycling","31.38","1,629","02:41:33","139","167","5.0","--","--","11.7","31.6","2,970","2,988","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:05:54.3","7","35","21","44","02:29:37","02:41:33","318","1,280"
Cycling,2025-05-15 10:22:19,false,"Underhill Cycling","25.55","1,295","02:24:38","129","159","3.8","--","--","10.6","35.5","2,558","2,560","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:04:13.2","6","31","22","39","02:21:24","02:29:56","458","1,244"
Running,2025-05-12 17:19:01,false,"Underhill Running","3.80","521","00:46:50","135","157","3.0","145","243","12:19","9:06","359","346","0.89","9.6","8.4","313","--","11:53","291","0.0","267","446","--","6,890","No","00:09:54.6","4","--","--","--","00:46:19","00:46:50","656","824"
Cycling,2025-05-11 13:31:23,false,"Fletcher Cycling","20.43","1,146","01:52:33","136","164","4.0","--","--","10.9","31.3","1,552","1,611","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:05:39.5","5","32","22","39","01:42:47","01:59:00","430","987"
Incident Detected,2025-05-11 13:10:25,false,"Fletcher Incident Detected","2.81","239","00:18:37","142","156","3.0","--","--","9.1","24.0","368","156","--","--","--","--","--","--","--","0.0","--","--","--","18","No","00:05:12.3","3","34","25","41","00:16:39","00:18:37","604","835"
Cycling,2025-05-11 10:31:00,false,"Underhill Cycling","22.43","995","01:46:51","124","161","3.2","--","--","12.6","36.4","1,388","1,724","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:10:11","5","29","13","40","01:39:57","02:35:34","443","820"
Indoor Rowing,2025-05-09 15:50:24,false,"Indoor Rowing","--","484","00:41:23","132","149","3.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","1252","--","No","00:41:23","1","--","--","--","00:00:00","00:41:23","--","--"
Cycling,2025-05-05 14:43:59,false,"Underhill Cycling","14.05","784","01:07:28","141","165","4.1","--","--","12.5","32.3","1,406","1,392","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:17:00","3","34","20","43","01:06:41","01:11:21","744","1,257"
